revenue,averageRating
16.373749,7.5524316
20.86007,7.766344
19.331514,5.4087415
19.136103,6.8409023
16.71713,7.436037
19.8849,7.4288526
18.621996,6.570307
17.758928,7.128862
19.101244,7.020095
18.635271,6.313569
19.088556,6.340265
18.989664,8.064034
18.761759,7.5639377
19.375221,5.268909
20.175089,7.698638
20.66228,7.5181537
18.000092,6.110285
19.334534,5.537041
19.68639,7.460349
18.445217,7.5135546
20.046387,8.509885
17.338535,7.493553
19.756968,8.544958
15.989867,7.1973314
19.511658,6.987321
18.32503,6.3931804
19.133326,7.241996
18.645535,6.6804786
18.647234,7.8091855
16.79592,7.0845766
18.262249,7.0024796
16.902002,7.9196663
18.83944,5.171873
16.95128,5.784422
18.496904,7.881472
17.643002,7.591366
17.855154,7.3702745
17.730215,4.1580596
16.727985,7.402992
17.941486,7.407047
17.322075,7.4619923
18.0219,7.9319477
17.917725,6.745985
18.32478,5.9655576
17.424934,7.351131
17.517805,6.621982
16.955278,4.5935106
16.210299,8.1349945
19.47347,6.6027684
18.680046,6.5043674
18.606503,6.2090187
19.395632,6.225624
19.540674,6.2717113
16.302511,7.327196
17.658245,4.981847
17.346472,6.569958
18.298037,7.061205
18.036518,7.5673823
19.006304,6.3651485
17.30773,7.4663324
17.370752,7.6366916
20.035292,7.2933764
18.799,6.468299
19.47717,6.564536
16.303898,6.239959
17.861929,5.351426
15.80994,8.083633
18.885925,5.874836
17.677343,7.392399
18.146908,8.034146
17.693481,7.2877636
18.410938,6.452139
18.544203,8.055139
18.190159,5.9119654
20.220116,7.0728593
17.942968,7.9149175
17.577375,4.200746
16.887403,7.5245533
19.29792,6.4190106
17.347904,6.5459905
20.169628,6.6410823
19.762676,5.590323
18.473242,5.9100065
18.114708,5.359061
18.776617,5.14715
20.173056,7.1383967
18.935665,4.0422196
18.518606,7.045345
19.50165,6.1494665
21.086319,7.6422033
19.91469,7.916326
17.57567,6.6111507
18.351847,6.4439263
19.37032,6.0894356
15.759087,7.676638
19.671234,7.5469546
20.40015,6.701828
19.344217,6.850394
17.033304,6.8311844
19.325115,8.623857
18.497572,5.8312097
17.673443,5.8492703
17.61361,5.9089127
17.809895,6.1229568
17.821556,8.031018
17.278578,7.4619794
18.200954,7.004812
18.47587,8.174116
16.892975,8.522055
15.908839,7.7941103
20.211842,6.951766
17.169739,8.368825
18.049477,6.36443
19.340609,7.769937
18.2229,6.6068254
17.642809,6.7307034
17.14255,6.6651964
17.624926,6.1207356
17.88524,5.348064
18.583263,5.949493
17.999384,6.5605545
19.804825,8.416188
17.875824,3.7896981
18.882778,7.8444977
18.11175,6.4540734
18.229612,7.195243
18.974197,6.761914
17.319525,6.8965816
16.864841,6.4435306
20.737915,6.7525454
19.190498,5.0680223
18.75202,5.9776006
18.341972,5.485545
17.424294,6.285385
20.295095,5.6601796
16.806416,5.825382
17.044798,6.2570286
16.547766,6.522842
19.96191,6.373382
16.567577,7.8310647
18.210524,7.5039783
17.0231,6.3097296
16.509335,5.9296513
17.228106,6.9684033
19.90329,6.7763577
18.001398,6.4081573
18.179611,5.5268345
18.815327,6.179339
15.580141,7.6081777
19.457838,8.104926
17.055502,7.412006
18.143589,6.8745294
18.300238,6.3650846
19.54543,6.0466814
18.491367,6.9525523
18.026114,6.689842
15.959379,7.774692
16.466637,5.9934072
17.865719,5.3587976
19.981285,6.5799813
18.594042,6.5492144
17.256676,7.5885344
18.920965,7.202929
16.82659,7.3124785
19.025488,5.415508
18.663635,6.4212413
20.484594,6.7687316
18.932554,7.5711946
18.217922,6.7830477
18.774273,8.236003
17.943113,7.7132626
18.938646,6.994155
17.878593,5.3350086
17.636837,5.3791304
17.754623,5.7999773
18.909752,6.9706073
18.353064,6.546465
18.292738,5.510325
17.067686,6.7648463
19.796242,7.4103837
19.828972,6.347042
17.29979,6.671528
18.372152,4.695589
18.232306,6.9039702
17.880169,5.837213
17.761417,6.433833
17.622992,7.483885
18.358192,6.5672317
18.680857,6.0962567
17.844387,6.7569523
17.408209,5.7379785
17.151346,8.084651
18.816355,7.0844316
17.494137,6.5675473
19.126842,5.8113284
18.52379,5.803204
17.403412,7.0464783
17.891071,8.338997
18.328264,5.453936
18.787989,5.5742273
17.337936,6.591671
18.944199,8.253537
20.675167,8.117441
16.944344,7.2333994
16.53904,6.384362
19.83171,6.576247
17.6827,6.508859
18.384298,6.6330404
17.978409,7.637012
17.40227,6.6139865
19.119915,6.3176494
19.894243,6.490175
19.115574,6.971688
18.202242,6.106983
17.444323,6.866878
16.42853,7.53786
17.630394,7.1885486
17.785908,6.2121496
18.72129,6.8644147
18.58445,7.5257645
17.481483,6.3003707
19.184246,6.5282426
16.354445,7.7371054
19.643871,8.393844
19.09265,6.597124
17.25644,7.826411
20.058903,6.5374656
20.61268,7.8785663
19.182283,6.3511224
18.64235,8.737313
18.889713,7.632405
17.595419,6.822177
19.641636,6.215111
19.778608,8.185952
17.034689,6.5609365
18.5189,6.788793
16.914972,5.823013
19.681843,8.39723
19.286238,6.6197863
17.735659,7.5426993
17.073507,7.188287
16.972456,7.898184
17.79649,6.207473
15.789832,7.168982
17.889116,7.629506
18.920177,8.153183
18.049698,6.869367
18.371569,6.8364387
